command,count,num_people_using
ssh-agent,135,15
composer,568,15
otool,356,15
meteor,362,15
unlink,376,15
rename,285,15
zeus,891,15
iostat,133,15
identify,113,15
where,74,15
[,209,15
skype,83,15
ctags,167,15
function,401,15
ncmpcpp,252,15
perldoc,809,14
cake,978,14
gl,555,14
gb,1215,14
dropbox,201,14
last,127,14
w3m,166,14
shasum,91,14
yeoman,399,14
okular,349,14
RAILS_ENV=test,193,14
s3cmd,1893,14
mysql.server,183,14
display,424,14
./adb,385,14
purge,92,14
xxd,339,14
./main,832,14
osascript,147,13
clang++,389,13
xmodmap,87,13
cucumber,988,13
phantomjs,223,13
gksu,50,13
siege,260,13
thin,215,13
exi,15,13
steam,158,13
cc,361,13
dot,169,13
amixer,161,13
xmllint,122,13
tracert,28,13
lls,35,13
pydoc,295,13
bibtex,159,13
modprobe,54,13
\curl,36,13
weechat-curses,96,13
lessc,117,12
chromium,234,12
it,30,12
st,586,12
n,119,12
zcat,284,12
nodemon,575,12
pwgen,198,12
iconv,182,12
[A,58,12
./build.sh,125,12
./start-tor-browser,39,12
seq,106,12
ping6,174,12
nvm,281,12
gsettings,63,12
-,308,12
journalctl,181,11
avconv,222,11
chkconfig,50,11
packer,1049,11
users,39,11
sha1sum,107,11
mysqladmin,75,11
[[,2076,11
scrot,109,11
nosetests,405,11
LS,27,11
"Here'""'""'s",13,11
mpd,100,11
jitsu,199,11
lsb_release,34,11
drush,1398,11
status,40,11
f,111,11
mogrify,81,11
smbclient,112,11
pw,21,11
./autogen.sh,114,11
tracepath,51,11
fortune,424,11
clea,85,11
ri,286,11
redshift,149,11
mono,145,11


